@relation CHESS

@attribute P1 {f, n, t, l, g, w, b}
@attribute P2 {f, n, t, l, g, w, b}
@attribute P3 {f, n, t, l, g, w, b}
@attribute P4 {f, n, t, l, g, w, b}
@attribute P5 {f, n, t, l, g, w, b}
@attribute P6 {f, n, t, l, g, w, b}
@attribute P7 {f, n, t, l, g, w, b}
@attribute P8 {f, n, t, l, g, w, b}
@attribute P9 {f, n, t, l, g, w, b}
@attribute P10 {f, n, t, l, g, w, b}
@attribute P11 {f, n, t, l, g, w, b}
@attribute P12 {f, n, t, l, g, w, b}
@attribute P13 {f, n, t, l, g, w, b}
@attribute P14 {f, n, t, l, g, w, b}
@attribute P15 {f, n, t, l, g, w, b}
@attribute P16 {f, n, t, l, g, w, b}
@attribute P17 {f, n, t, l, g, w, b}
@attribute P18 {f, n, t, l, g, w, b}
@attribute P19 {f, n, t, l, g, w, b}
@attribute P20 {f, n, t, l, g, w, b}
@attribute P21 {f, n, t, l, g, w, b}
@attribute P22 {f, n, t, l, g, w, b}
@attribute P23 {f, n, t, l, g, w, b}
@attribute P24 {f, n, t, l, g, w, b}
@attribute P25 {f, n, t, l, g, w, b}
@attribute P26 {f, n, t, l, g, w, b}
@attribute P27 {f, n, t, l, g, w, b}
@attribute P28 {f, n, t, l, g, w, b}
@attribute P29 {f, n, t, l, g, w, b}
@attribute P30 {f, n, t, l, g, w, b}
@attribute P31 {f, n, t, l, g, w, b}
@attribute P32 {f, n, t, l, g, w, b}
@attribute P33 {f, n, t, l, g, w, b}
@attribute P34 {f, n, t, l, g, w, b}
@attribute P35 {f, n, t, l, g, w, b}
@attribute P36 {f, n, t, l, g, w, b}
@attribute PC {won, nowin}

@data

f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,t,f,t,f,f,f,f,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,t,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,t,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,t,t,n,won
f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,t,f,f,f,t,f,t,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,t,f,f,f,f,f,t,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,t,t,n,won
f,f,f,f,f,f,t,f,f,f,t,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,t,f,t,f,f,f,t,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
